
report_noise_or_smell,"Ada suara aneh dari mesin mobilku saat dinyalakan."
report_noise_or_smell,"Mesin mobilku bunyinya nggak biasa, kayak ketukan."
report_noise_or_smell,"Saat aku mengerem, remnya berdecit keras."
report_noise_or_smell,"Knalpotku baunya menyengat banget, kayak bensin."
report_noise_or_smell,"AC mobilku bau gosong tiap dinyalain."
report_noise_or_smell,"Roda depan bunyi berderak pas aku belok kiri."
report_noise_or_smell,"Mobilku berisik banget, kayak ada yang longgar."
report_noise_or_smell,"Bau aneh keluar dari kap mesin pas aku buka."
report_noise_or_smell,"Suara mesinku kayak mesin jahit, aneh banget."
report_noise_or_smell,"Tiap aku nyalain mobil, ada bau kayak oli terbakar."
report_noise_or_smell,"Remku bunyi aneh, kayak gesekan besi."
report_noise_or_smell,"AC-nya bau apek, nggak enak banget."
report_noise_or_smell,"Ada bunyi ketuk-ketuk dari bawah mobilku."
report_noise_or_smell,"Knalpotku asapnya bau banget, apa ini normal?"
report_noise_or_smell,"Saat aku gas, mesin bunyi kenceng kayak bergetar."
report_noise_or_smell,"Bau menyengat dari dalam kabin, entah dari mana."
report_noise_or_smell,"Mobilku bunyi krek-krek tiap lelet jalannya."
report_noise_or_smell,"Pas aku parkir, ada bau aneh dari mesin."
report_noise_or_smell,"Suara berisik dari roda belakang pas ngerem."
report_noise_or_smell,"AC mobilku baunya kayak karet terbakar."
report_noise_or_smell,"Mesinku bunyi gede banget, apa ada yang rusak?"
report_noise_or_smell,"Ada suara gemeretak dari kap mesin."
report_noise_or_smell,"Knalpotku bau amis, nggak biasa gini."
report_noise_or_smell,"Saat aku belok kanan, roda bunyi klak-klik."
report_noise_or_smell,"Bau bensin masuk ke kabin, apa bocor ya?"
report_noise_or_smell,"Remnya bunyi ciiit pas aku injek pelan."
report_noise_or_smell,"Mobilku kayak ada yang bergesekan di bagian bawah."
report_noise_or_smell,"AC-nya bau asam, bikin pusing."
report_noise_or_smell,"Mesin bergetar sama bunyi aneh pas idle."
report_noise_or_smell,"Knalpotku bunyi meletup pas aku matiin mobil."
report_noise_or_smell,"Suara berderit dari pintu mobilku."
report_noise_or_smell,"Bau aneh dari karpet mobil, kayak basah."
report_noise_or_smell,"Roda bunyi kletak-kletak pas aku lelet."
report_noise_or_smell,"Mesinku baunya kayak ada yang meleleh."
